2025-02-01 14:52:59,447 - INFO - Pod: workload-1738421579, Node: normal-worker, Intensity: 303.5, Region: ERCOT, Type: Planned
2025-02-01 14:52:59,997 - INFO - Pod: workload-1738421579, Node: normal-worker, Intensity: 303.5, Region: ERCOT, Type: Actual
2025-02-01 14:53:09,712 - INFO - Pod: workload-1738421589, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Planned
2025-02-01 14:53:10,047 - INFO - Pod: workload-1738421589, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Actual
2025-02-01 14:53:20,145 - INFO - Pod: workload-1738421600, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Planned
2025-02-01 14:53:20,709 - INFO - Pod: workload-1738421600, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Actual
2025-02-01 14:53:30,600 - INFO - Pod: workload-1738421610, Node: normal-control-plane, Intensity: 252.96, Region: DE, Type: Planned
2025-02-01 14:53:31,186 - INFO - Pod: workload-1738421610, Node: normal-control-plane, Intensity: 252.96, Region: DE, Type: Actual
2025-02-01 14:53:41,044 - INFO - Pod: workload-1738421620, Node: normal-worker, Intensity: 293.27, Region: ERCOT, Type: Planned
2025-02-01 14:53:41,599 - INFO - Pod: workload-1738421620, Node: normal-worker, Intensity: 293.27, Region: ERCOT, Type: Actual
2025-02-01 14:53:51,653 - INFO - Pod: workload-1738421631, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Planned
2025-02-01 14:53:52,831 - INFO - Pod: workload-1738421631, Node: normal-worker2, Intensity: 179.73, Region: NL, Type: Actual
2025-02-01 14:54:01,986 - INFO - Pod: workload-1738421641, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Planned
2025-02-01 14:54:02,523 - INFO - Pod: workload-1738421641, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Actual
2025-02-01 14:54:12,411 - INFO - Pod: workload-1738421652, Node: normal-worker, Intensity: 301.81, Region: ERCOT, Type: Planned
2025-02-01 14:54:12,973 - INFO - Pod: workload-1738421652, Node: normal-worker, Intensity: 301.81, Region: ERCOT, Type: Actual
2025-02-01 14:54:22,851 - INFO - Pod: workload-1738421662, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Planned
2025-02-01 14:54:23,153 - INFO - Pod: workload-1738421662, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Actual
2025-02-01 14:54:33,102 - INFO - Pod: workload-1738421673, Node: normal-worker, Intensity: 301.81, Region: ERCOT, Type: Planned
2025-02-01 14:54:33,497 - INFO - Pod: workload-1738421673, Node: normal-worker, Intensity: 301.81, Region: ERCOT, Type: Actual
2025-02-01 14:54:43,480 - INFO - Pod: workload-1738421683, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Planned
2025-02-01 14:54:43,849 - INFO - Pod: workload-1738421683, Node: normal-control-plane, Intensity: 275.06, Region: DE, Type: Actual
2025-02-01 14:54:53,870 - INFO - Pod: workload-1738421693, Node: normal-worker2, Intensity: 274.96, Region: NL, Type: Planned
2025-02-01 14:54:54,378 - INFO - Pod: workload-1738421693, Node: normal-worker2, Intensity: 274.96, Region: NL, Type: Actual
2025-02-01 14:55:04,321 - INFO - Pod: workload-1738421704, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Planned
2025-02-01 14:55:04,896 - INFO - Pod: workload-1738421704, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Actual
2025-02-01 14:55:14,748 - INFO - Pod: workload-1738421714, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Planned
2025-02-01 14:55:15,259 - INFO - Pod: workload-1738421714, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Actual
2025-02-01 14:55:25,210 - INFO - Pod: workload-1738421725, Node: normal-worker, Intensity: 321.49, Region: ERCOT, Type: Planned
2025-02-01 14:55:25,727 - INFO - Pod: workload-1738421725, Node: normal-worker, Intensity: 321.49, Region: ERCOT, Type: Actual
2025-02-01 14:55:35,710 - INFO - Pod: workload-1738421735, Node: normal-control-plane, Intensity: 278.54, Region: DE, Type: Planned
2025-02-01 14:55:36,138 - INFO - Pod: workload-1738421735, Node: normal-control-plane, Intensity: 278.54, Region: DE, Type: Actual
2025-02-01 14:55:46,119 - INFO - Pod: workload-1738421746, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Planned
2025-02-01 14:55:46,481 - INFO - Pod: workload-1738421746, Node: normal-worker2, Intensity: 202.08, Region: NL, Type: Actual
2025-02-01 14:55:56,565 - INFO - Pod: workload-1738421756, Node: normal-control-plane, Intensity: 278.54, Region: DE, Type: Planned
